T,Alt,FAlt,FVeloc,LDA,Apogee,N-O,Drogue,Main,AUX
43.30,2849.00,2977.36,-64.18,0,0,0,0,0,0
43.80,2815.00,2944.89,-64.94,0,0,0,0,0,0
44.30,2767.00,2909.31,-71.16,0,0,0,0,0,0
44.80,2704.00,2868.25,-82.12,0,0,0,0,0,0
45.30,2691.00,2832.80,-70.90,0,0,0,0,0,0
45.80,2563.00,2778.84,-107.92,0,0,0,0,0,0
46.30,2616.00,2746.27,-65.14,0,0,0,0,0,0
46.80,2556.00,2708.22,-76.11,0,0,0,0,0,0
47.30,2506.00,2667.77,-80.89,0,0,0,0,0,0
47.80,2486.00,2631.42,-72.71,0,0,0,0,0,0
48.30,2363.00,2577.74,-107.37,0,0,0,0,0,0
48.80,2381.00,2538.39,-78.69,0,0,0,0,0,0
49.30,2372.00,2505.11,-66.56,0,0,0,0,0,0
49.80,2357.00,2475.49,-59.24,0,0,0,0,0,0
50.30,2269.00,2434.19,-82.60,0,0,0,0,0,0
50.80,2242.00,2395.75,-76.88,0,0,0,0,0,0
51.30,2195.00,2355.60,-80.30,0,0,0,0,0,0
51.80,2201.00,2324.68,-61.84,0,0,0,0,0,0
52.30,2165.00,2292.75,-63.87,0,0,0,0,0,0
52.80,2036.00,2241.40,-102.70,0,0,0,0,0,0
53.30,2070.00,2207.12,-68.56,0,0,0,0,0,0
53.80,2004.00,2166.49,-81.25,0,0,0,0,0,0
54.30,1894.00,2111.99,-109.00,0,0,0,0,0,0
54.80,1922.00,2074.00,-76.00,0,0,0,0,0,0
55.30,1868.00,2032.80,-82.40,0,0,0,0,0,0
55.80,1834.00,1993.04,-79.52,0,0,0,0,0,0
56.30,1797.00,1953.83,-78.42,0,0,0,0,0,0
56.80,1709.00,1904.86,-97.93,0,0,0,0,0,0
57.30,1707.00,1865.29,-79.15,0,0,0,0,0,0
57.80,1636.00,1819.43,-91.72,0,0,0,0,0,0
58.30,1631.00,1781.75,-75.37,0,0,0,0,0,0
58.80,1626.00,1750.60,-62.30,0,0,0,0,0,0
59.30,1531.00,1706.68,-87.84,0,0,0,0,0,0
59.80,1488.00,1662.94,-87.47,0,0,0,0,0,0
60.30,1410.00,1612.35,-101.18,0,0,0,0,0,0
60.80,1426.00,1575.08,-74.54,0,0,0,0,0,0
61.30,1346.00,1529.27,-91.63,0,0,0,0,0,0
61.80,1307.00,1484.81,-88.91,0,0,0,0,0,0
62.30,1296.00,1447.05,-75.53,0,0,0,0,0,0
62.80,1274.00,1412.44,-69.22,0,0,0,0,0,0
63.30,1212.00,1372.35,-80.18,0,0,0,0,0,0
63.80,1183.00,1334.48,-75.74,0,0,0,0,0,0
64.30,1062.00,1279.99,-108.99,0,0,0,0,0,0
64.80,1091.00,1242.19,-75.59,0,0,0,0,0,0
65.30,997.00,1193.15,-98.08,0,0,0,0,0,0
65.80,1002.00,1154.92,-76.46,0,0,0,0,0,0
66.30,954.00,1114.74,-80.37,0,0,0,0,0,0
66.80,863.00,1064.39,-100.69,0,0,0,0,0,0
67.30,903.00,1032.11,-64.56,0,0,0,0,0,0
67.80,828.00,991.29,-81.64,0,0,0,0,0,0
68.30,787.00,950.43,-81.72,0,0,0,0,0,0
68.80,755.00,911.35,-78.17,0,0,0,0,0,0
69.30,709.00,870.88,-80.94,0,0,0,0,0,0
69.80,659.00,828.50,-84.75,0,0,0,0,0,0
70.30,636.00,790.00,-77.00,0,0,0,0,0,0
70.80,573.00,746.60,-86.80,0,0,0,0,573,0
71.30,557.00,708.68,-75.84,0,0,0,0,0,0
71.80,490.00,664.94,-87.47,0,0,0,0,0,0
72.30,460.00,623.96,-81.98,0,0,0,0,0,0
72.80,423.00,583.76,-80.38,0,0,0,0,0,0
73.30,395.00,546.01,-75.51,0,0,0,0,0,0
73.80,381.00,513.01,-66.00,0,0,0,0,0,0
74.30,354.00,481.21,-63.60,0,0,0,0,0,0
74.80,342.00,453.37,-55.68,0,0,0,0,0,0
